date,game,pick,p538,price,pBOV,value,league
2020-02-15,KV -KV ,KV Oostende,0.3297,2.600,0.3846153846153846,-0.16656167611581615,bjl_3wm
2020-02-15,KV -KV ,KV Kortrijk,0.4139,2.700,0.37037037037037035,0.10516943616726175,bjl_3wm
2020-02-15,KV -KV ,Draw,0.2564,3.300,0.30303030303030304,-0.18186545643643923,bjl_3wm
2020-02-15,TOU-NIC,Toulouse,0.3865,2.500,0.4,-0.034928848641655914,fl1_3wm
2020-02-15,TOU-NIC,Nice,0.3474,2.800,0.35714285714285715,-0.028045069495846762,fl1_3wm
2020-02-15,TOU-NIC,Draw,0.266,3.400,0.29411764705882354,-0.10570544007076513,fl1_3wm
2020-02-15,NIM-ANG,Nimes,0.4178,2.900,0.3448275862068966,0.17465872138129113,fl1_3wm
2020-02-15,NIM-ANG,Angers,0.2844,2.550,0.3921568627450981,-0.3788919224511185,fl1_3wm
2020-02-15,NIM-ANG,Draw,0.2978,3.150,0.31746031746031744,-0.06601852740200616,fl1_3wm
2020-02-15,NAN-MET,Nantes,0.5134,1.909091,0.5238094988662143,-0.020275611348294392,fl1_3wm
2020-02-15,NAN-MET,Metz,0.2088,4.600,0.2173913043478261,-0.04114609361985678,fl1_3wm
2020-02-15,NAN-MET,Draw,0.2778,3.250,0.3076923076923077,-0.10760369939635608,fl1_3wm
2020-02-15,ATA-AS ,Atalanta,0.5382,1.770,0.5649717514124294,-0.04974312785661349,isa_3wm
2020-02-15,ATA-AS ,AS Roma,0.2416,4.050,0.2469135802469136,-0.02199329572398007,isa_3wm
2020-02-15,ATA-AS ,Draw,0.2202,4.200,0.23809523809523808,-0.0812681112408632,isa_3wm
2020-02-15,RIO-SPO,Rio Ave,0.3608,2.600,0.3846153846153846,-0.06600716356813906,pl_3wm
2020-02-15,RIO-SPO,Sporting CP,0.3639,2.700,0.37037037037037035,-0.017780627563534896,pl_3wm
2020-02-15,RIO-SPO,Draw,0.2753,3.300,0.30303030303030304,-0.10072758093099546,pl_3wm
2020-02-15,HUR-ALD,Huracán,0.4019,2.500,0.4,0.004727544165215121,apd_3wm
2020-02-15,HUR-ALD,Aldosivi,0.28,3.150,0.31746031746031744,-0.1337868480725622,apd_3wm
2020-02-15,HUR-ALD,Draw,0.3181,2.850,0.3508771929824561,-0.1030405312243198,apd_3wm
2020-02-15,PAC-PUE,Pachuca,0.5878,1.588235,0.6296297462277307,-0.07116322937688112,mpdtc_3wm
2020-02-15,PAC-PUE,Puebla,0.1723,5.50,0.18181818181818182,-0.05524191420883235,mpdtc_3wm
2020-02-15,PAC-PUE,Draw,0.24,4.00,0.25,-0.041666666666666706,mpdtc_3wm
2020-02-15,TAL-SAN,Talleres de Córdoba,0.4113,2.100,0.47619047619047616,-0.1577692102856216,apd_3wm
2020-02-15,TAL-SAN,San Lorenzo,0.3086,3.650,0.273972602739726,0.11220802741501612,apd_3wm
2020-02-15,TAL-SAN,Draw,0.2801,3.200,0.3125,-0.11567297393787927,apd_3wm
2020-02-15,CLU-ATL,Club América,0.6201,1.500,0.6666666666666666,-0.0750954147180562,mpdtc_3wm
2020-02-15,CLU-ATL,Atlas,0.1506,6.00,0.16666666666666666,-0.10668437361664439,mpdtc_3wm
2020-02-15,CLU-ATL,Draw,0.2294,4.050,0.2469135802469136,-0.07634516236666784,mpdtc_3wm
2020-02-15,MON-FC ,Monterrey,0.6601,1.434783,0.6969695068871042,-0.05585442643100169,mpdtc_3wm
2020-02-15,MON-FC ,FC Juárez,0.1333,6.250,0.16,-0.2003000750187547,mpdtc_3wm
2020-02-15,MON-FC ,Draw,0.2066,4.450,0.2247191011235955,-0.0877013607144022,mpdtc_3wm
2020-02-16,SON-HOB,Sonderjyske,0.4061,1.909091,0.5238094988662143,-0.28985348157156926,ds_3wm
2020-02-16,SON-HOB,Hobro IK,0.3153,3.950,0.2531645569620253,0.19706769120829287,ds_3wm
2020-02-16,SON-HOB,Draw,0.2785,3.400,0.29411764705882354,-0.05607772732073075,ds_3wm
2020-02-16,FUE-LUG,Fuenlabrada,0.4987,1.645161,0.6078432445213569,-0.21885551337749526,ssd_3wm
2020-02-16,FUE-LUG,Lugo,0.2028,5.50,0.18181818181818182,0.1034606419221804,ssd_3wm
2020-02-16,FUE-LUG,Draw,0.2986,3.500,0.2857142857142857,0.043153765189933954,ssd_3wm
2020-02-16,UDI-VER,Udinese,0.3849,2.550,0.3921568627450981,-0.018853891257724263,isa_3wm
2020-02-16,UDI-VER,Verona,0.334,2.950,0.3389830508474576,-0.01491931391454369,isa_3wm
2020-02-16,UDI-VER,Draw,0.2811,3.250,0.3076923076923077,-0.09460088115370932,isa_3wm
2020-02-16,ABE-CEL,Aberdeen,0.1088,8.00,0.125,-0.14889705882352947,sp_3wm
2020-02-16,ABE-CEL,Celtic,0.7056,1.384615,0.722222422839562,-0.02355785549824539,sp_3wm
2020-02-16,ABE-CEL,Draw,0.1855,4.550,0.21978021978021978,-0.18479902846479665,sp_3wm
2020-02-16,ERZ-HOL,Erzgebirge Aue,0.3053,3.100,0.3225806451612903,-0.05660217871369242,g2b_3wm
2020-02-16,ERZ-HOL,Holstein Kiel,0.4237,2.300,0.4347826086956522,-0.026156735179731404,g2b_3wm
2020-02-16,ERZ-HOL,Draw,0.271,3.300,0.30303030303030304,-0.11819300011181925,g2b_3wm
2020-02-16,TRA-SIV,Trabzonspor,0.5843,1.870,0.53475935828877,0.08478631133190154,ttsl_3wm
2020-02-16,TRA-SIV,Sivasspor,0.2006,3.700,0.27027027027027023,-0.34730942308210483,ttsl_3wm
2020-02-16,TRA-SIV,Draw,0.2151,3.550,0.28169014084507044,-0.30957759574649196,ttsl_3wm
2020-02-16,AST-TOT,Aston Villa,0.2536,4.050,0.2469135802469136,0.02636600849008832,bpl_3wm
2020-02-16,AST-TOT,Tottenham Hotspur,0.5219,1.870,0.53475935828877,-0.02463950620572895,bpl_3wm
2020-02-16,AST-TOT,Draw,0.2245,3.800,0.2631578947368421,-0.17219552221310505,bpl_3wm
2020-02-16,SAS-PAR,Sassuolo,0.4922,1.909091,0.5238094988662143,-0.06422084288137805,isa_3wm
2020-02-16,SAS-PAR,Parma,0.2553,4.00,0.25,0.02075989032510782,isa_3wm
2020-02-16,SAS-PAR,Draw,0.2525,3.650,0.273972602739726,-0.08504001085040004,isa_3wm
2020-02-16,JUV-BRE,Juventus,0.8805,1.173913,0.8518518834019216,0.03253619147992994,isa_3wm
2020-02-16,JUV-BRE,Brescia,0.0268,17.00,0.058823529411764705,-1.1949078138718172,isa_3wm
2020-02-16,JUV-BRE,Draw,0.0928,7.500,0.13333333333333333,-0.4367816091954024,isa_3wm
2020-02-16,CRE-TRA,Cremonese,0.5066,2.00,0.5,0.013028030003947986,isb_3wm
2020-02-16,CRE-TRA,Trapani,0.196,4.400,0.22727272727272727,-0.15955473098330233,isb_3wm
2020-02-16,CRE-TRA,Draw,0.2974,2.950,0.3389830508474576,-0.13982195980987766,isb_3wm
2020-02-16,SAM-FIO,Sampdoria,0.4215,2.800,0.35714285714285715,0.1526859854261989,isa_3wm
2020-02-16,SAM-FIO,Fiorentina,0.2947,2.750,0.36363636363636365,-0.2339204738254619,isa_3wm
2020-02-16,SAM-FIO,Draw,0.2839,3.050,0.3278688524590164,-0.15487443627691597,isa_3wm
2020-02-16,FRO-PER,Frosinone,0.5989,1.833333,0.5454546446281172,0.08923919748185469,isb_3wm
2020-02-16,FRO-PER,Perugia,0.136,4.950,0.20202020202020202,-0.48544266191325003,isb_3wm
2020-02-16,FRO-PER,Draw,0.2651,3.150,0.31746031746031744,-0.19751157095555427,isb_3wm
2020-02-16,EIB-REA,Eibar,0.3604,2.850,0.3508771929824561,0.02642288295655904,spd_3wm
2020-02-16,EIB-REA,Real Sociedad,0.3631,2.550,0.3921568627450981,-0.08002440855163347,spd_3wm
2020-02-16,EIB-REA,Draw,0.2765,3.300,0.30303030303030304,-0.09595046303907057,spd_3wm
2020-02-16,BOA-BEL,Boavista,0.4756,1.800,0.5555555555555556,-0.16811512942715634,pl_3wm
2020-02-16,BOA-BEL,Belenenses,0.2314,4.900,0.2040816326530612,0.11805690296862055,pl_3wm
2020-02-16,BOA-BEL,Draw,0.293,3.350,0.29850746268656714,-0.018796800978044897,pl_3wm
2020-02-16,PEC-FEY,PEC Zwolle,0.2446,4.150,0.24096385542168672,0.01486567693505026,de_3wm
2020-02-16,PEC-FEY,Feyenoord,0.5134,1.741,0.5743825387708213,-0.11878172725130773,de_3wm
2020-02-16,PEC-FEY,Draw,0.242,4.050,0.2469135802469136,-0.020304050607080997,de_3wm
2020-02-16,WIL-FC ,Willem II,0.393,2.500,0.4,-0.01781170483460561,de_3wm
2020-02-16,WIL-FC ,FC Utrecht,0.3424,2.600,0.3846153846153846,-0.12329259525521204,de_3wm
2020-02-16,WIL-FC ,Draw,0.2646,3.550,0.28169014084507044,-0.06458858973949522,de_3wm
2020-02-16,KIL-HIB,Kilmarnock,0.3985,2.350,0.425531914893617,-0.06783416535412046,sp_3wm
2020-02-16,KIL-HIB,Hibernian,0.3404,2.950,0.3389830508474576,0.004162600330618003,sp_3wm
2020-02-16,KIL-HIB,Draw,0.2611,3.300,0.30303030303030304,-0.16059097292341265,sp_3wm
2020-02-16,CAG-NAP,Cagliari,0.2552,4.00,0.25,0.020376175548589275,isa_3wm
2020-02-16,CAG-NAP,Napoli,0.5095,1.909091,0.5238094988662143,-0.028085375596102757,isa_3wm
2020-02-16,CAG-NAP,Draw,0.2353,3.650,0.273972602739726,-0.16435445278251595,isa_3wm
2020-02-16,RAC-SPO,Racing Santander,0.4248,2.750,0.36363636363636365,0.14398219482965247,ssd_3wm
2020-02-16,RAC-SPO,Sporting Gijón,0.25,2.800,0.35714285714285715,-0.4285714285714286,ssd_3wm
2020-02-16,RAC-SPO,Draw,0.3252,2.950,0.3389830508474576,-0.04238330518898408,ssd_3wm
2020-02-16,ATH-OSA,Athletic Bilbao,0.4597,2.00,0.5,-0.08766586904502938,spd_3wm
2020-02-16,ATH-OSA,Osasuna,0.2531,4.150,0.24096385542168672,0.04794999833391258,spd_3wm
2020-02-16,ATH-OSA,Draw,0.2873,3.200,0.3125,-0.08771319178558998,spd_3wm
2020-02-16,TEN-RAY,Tenerife,0.3521,2.600,0.3846153846153846,-0.09234701680029694,ssd_3wm
2020-02-16,TEN-RAY,Rayo Vallecano,0.3623,2.900,0.3448275862068966,0.048226369840197174,ssd_3wm
2020-02-16,TEN-RAY,Draw,0.2856,2.950,0.3389830508474576,-0.18691544414375907,ssd_3wm
2020-02-16,RIV-BAN,River Plate,0.7479,1.333333,0.7500001875000468,-0.0028081127156662825,apd_3wm
2020-02-16,RIV-BAN,Banfield,0.0751,8.500,0.11764705882352941,-0.5665387326701653,apd_3wm
2020-02-16,RIV-BAN,Draw,0.1769,5.00,0.2,-0.13058224985867728,apd_3wm
2020-02-16,NEC-QUE,Necaxa,0.4231,2.400,0.4166666666666667,0.015205231229811609,mpdtc_3wm
2020-02-16,NEC-QUE,Querétaro,0.305,3.00,0.3333333333333333,-0.09289617486338794,mpdtc_3wm
2020-02-16,NEC-QUE,Draw,0.2719,3.250,0.3076923076923077,-0.1316377627521432,mpdtc_3wm
2020-02-16,SAN-TIG,Santos Laguna,0.386,2.050,0.48780487804878053,-0.2637432073802604,mpdtc_3wm
2020-02-16,SAN-TIG,Tigres UANL,0.3516,3.350,0.29850746268656714,0.15100266585162936,mpdtc_3wm
2020-02-16,SAN-TIG,Draw,0.2624,3.500,0.2857142857142857,-0.08885017421602773,mpdtc_3wm
2020-02-17,ANT-KAS,Antalyaspor,0.4085,2.00,0.5,-0.22399020807833545,ttsl_3wm
2020-02-17,ANT-KAS,Kasimpasa,0.3488,3.350,0.29850746268656714,0.14418732027933734,ttsl_3wm
2020-02-17,ANT-KAS,Draw,0.2427,3.650,0.273972602739726,-0.12885291610929547,ttsl_3wm
2020-02-17,FC -LYN,FC Midtjylland,0.823,1.250,0.8,0.027946537059538167,ds_3wm
2020-02-17,FC -LYN,Lyngby,0.0428,12.00,0.08333333333333333,-0.9470404984423676,ds_3wm
2020-02-17,FC -LYN,Draw,0.1342,6.00,0.16666666666666666,-0.24192747143566795,ds_3wm
2020-02-17,AC -TOR,AC Milan,0.6268,1.606061,0.6226413567106106,0.0066347212657776305,isa_3wm
2020-02-17,AC -TOR,Torino,0.1517,6.00,0.16666666666666666,-0.09865963524500103,isa_3wm
2020-02-17,AC -TOR,Draw,0.2215,4.050,0.2469135802469136,-0.11473399660006137,isa_3wm
2020-02-17,CHE-MAN,Chelsea,0.5298,1.833333,0.5454546446281172,-0.02954821560611016,bpl_3wm
2020-02-17,CHE-MAN,Manchester United,0.2318,4.400,0.22727272727272727,0.019530943603419934,bpl_3wm
2020-02-17,CHE-MAN,Draw,0.2384,3.600,0.2777777777777778,-0.16517524235645045,bpl_3wm
2020-02-20,GET-AJA,Getafe,0.4887,2.550,0.3921568627450981,0.1975509254243952,uel_3wm
2020-02-20,GET-AJA,Ajax,0.2618,2.600,0.3846153846153846,-0.4691191161779397,uel_3wm
2020-02-20,GET-AJA,Draw,0.2495,3.450,0.2898550724637681,-0.1617437774098923,uel_3wm
2020-02-20,EIN-FC ,Eintracht Frankfurt,0.3147,2.050,0.48780487804878053,-0.550063165073977,uel_3wm
2020-02-20,EIN-FC ,FC Salzburg,0.473,3.300,0.30303030303030304,0.35934396822346076,uel_3wm
2020-02-20,EIN-FC ,Draw,0.2123,3.700,0.27027027027027023,-0.2730582678769206,uel_3wm
2020-02-20,FC -CEL,FC Copenhagen,0.2835,3.00,0.3333333333333333,-0.17577895355673137,uel_3wm
2020-02-20,FC -CEL,Celtic,0.4501,2.450,0.4081632653061224,0.09317203886664652,uel_3wm
2020-02-20,FC -CEL,Draw,0.2664,3.100,0.3225806451612903,-0.21088830766250105,uel_3wm
2020-02-20,SPO-IST,Sporting CP,0.4826,1.690,0.591715976331361,-0.22610024105130752,uel_3wm
